"","Gene","logFC","pvalues"
"ENSG00000261754","ENSG00000261754",4.32818708535904,0.196354816518833
"ENSG00000229654","ENSG00000229654",6.21084525675562,0.367822265612914
"ENSG00000131355","ENSG00000131355",4.17753818555219,0.312457452005905
"ENSG00000185275","ENSG00000185275",6.29391371871777,0.360273867135905
"ENSG00000171956","ENSG00000171956",3.21593739919915,0.113042816860147
"ENSG00000183032","ENSG00000183032",3.27085391029309,0.186271274976638
"ENSG00000197472","ENSG00000197472",3.74075717332858,0.12244653943603
"ENSG00000133124","ENSG00000133124",5.15987133677839,0.372211617740863
"ENSG00000237210","ENSG00000237210",3.23946593469539,0.414577161016053
"ENSG00000287340","ENSG00000287340",3.49984588708321,0.133518440821185
"ENSG00000288041","ENSG00000288041",3.73470962022584,0.299238188353498
"ENSG00000174450","ENSG00000174450",3.56071495447448,0.362514297035238
"ENSG00000261711","ENSG00000261711",4.05889368905357,0.360183612008627
"ENSG00000236816","ENSG00000236816",3.66837850890879,0.108110291056197
"ENSG00000162892","ENSG00000162892",4.4170853279277,0.312484920625203
"ENSG00000287209","ENSG00000287209",3.71741279674481,0.381534593467463
"ENSG00000271234","ENSG00000271234",4.5909612413426,0.360610273886221
"ENSG00000204936","ENSG00000204936",5.90689059560852,0.361931625044321
"ENSG00000174697","ENSG00000174697",3.81591693556103,0.287444474209551
"ENSG00000129514","ENSG00000129514",5.54689445988764,0.363015307944344
"ENSG00000187185","ENSG00000187185",4.25738784269265,0.36530964806135
"ENSG00000124557","ENSG00000124557",4.11894107272351,0.35591233837479
"ENSG00000184895","ENSG00000184895",4.13955135239879,0.324384809137067
"ENSG00000264956","ENSG00000264956",4.22606807947985,0.384561231998013
"ENSG00000236054","ENSG00000236054",5.03708931873522,0.359599577531428
"ENSG00000285534","ENSG00000285534",3.55458885167764,0.341866584577372
"ENSG00000262539","ENSG00000262539",4.07324898203064,0.362222085195158
"ENSG00000235142","ENSG00000235142",7.88874324889826,0.374205231788352
"ENSG00000178919","ENSG00000178919",5.64385618977472,0.328086900575867
"ENSG00000253187","ENSG00000253187",3.71881824745595,0.326856439328989
"ENSG00000253308","ENSG00000253308",4.10433665981474,0.337306690780337
"ENSG00000287867","ENSG00000287867",5.21916852046216,0.172363475273864
"ENSG00000230635","ENSG00000230635",3.86789646399265,0.130039105898927
"ENSG00000269345","ENSG00000269345",3.67807190511264,0.194460117131419
"ENSG00000228304","ENSG00000228304",3.63226821549951,0.375165087199789
"ENSG00000273906","ENSG00000273906",6.2667865406949,0.332220631297396
"ENSG00000183169","ENSG00000183169",4.79441586635011,0.389167354013624
"ENSG00000277089","ENSG00000277089",4.08746284125034,0.391146897098315
"ENSG00000271584","ENSG00000271584",3.97727992349992,0.304850667035597
"ENSG00000286521","ENSG00000286521",4.71881824745595,0.363237266631868
"ENSG00000271776","ENSG00000271776",4.58496250072116,0.081362632418409
"ENSG00000283458","ENSG00000283458",4.64385618977472,0.171669723105299
"ENSG00000280118","ENSG00000280118",4.4374053123073,0.335539436348176
"ENSG00000205215","ENSG00000205215",4.34577483684173,0.148280099032071
"ENSG00000286351","ENSG00000286351",5.65821148275179,0.371866190684702
"ENSG00000279134","ENSG00000279134",5.12928301694497,0.370912705740904
"ENSG00000063515","ENSG00000063515",4.90689059560852,0.324558808508729
"ENSG00000164400","ENSG00000164400",4.7279204545632,0.205037050189839
"ENSG00000205266","ENSG00000205266",4.4594316186373,0.143294275350381
"ENSG00000259974","ENSG00000259974",4.35755200461808,0.341979885585707
"ENSG00000092377","ENSG00000092377",6.6724253419715,0.345939580936748
"ENSG00000242021","ENSG00000242021",5.95419631038687,0.258729601402773
"ENSG00000268079","ENSG00000268079",5.12928301694497,0.240632946311979
"ENSG00000279104","ENSG00000279104",5.16992500144231,0.0210896104388859
"ENSG00000268104","ENSG00000268104",5.12928301694497,0.207764079997861
"ENSG00000233941","ENSG00000233941",Inf,0.373900966300059
"ENSG00000257288","ENSG00000257288",Inf,0.370623785996371
"ENSG00000257541","ENSG00000257541",Inf,0.373900966300059
"ENSG00000164438","ENSG00000164438",Inf,0.278295166307563
"ENSG00000287460","ENSG00000287460",Inf,0.357275240543842
"ENSG00000259907","ENSG00000259907",Inf,0.167211639541982
"ENSG00000287552","ENSG00000287552",Inf,0.373900966300059
"ENSG00000228886","ENSG00000228886",Inf,0.223746165685958
"ENSG00000277984","ENSG00000277984",Inf,0.115054806257745
"ENSG00000102313","ENSG00000102313",Inf,0.330374966938783
"ENSG00000279411","ENSG00000279411",Inf,0.373900966300059
"ENSG00000237759","ENSG00000237759",Inf,0.306232041818487
"ENSG00000168530","ENSG00000168530",NA,0.339958391629891
"ENSG00000229404","ENSG00000229404",NA,0.30966617603077
"ENSG00000250623","ENSG00000250623",NA,0.311751250542293
"ENSG00000203690","ENSG00000203690",NA,0.311194390523991
"ENSG00000230051","ENSG00000230051",NA,0.136186172470911
"ENSG00000229228","ENSG00000229228",NA,0.27178004828555
"ENSG00000231292","ENSG00000231292",NA,0.344496008773026
"ENSG00000206702","ENSG00000206702",NA,0.322942518295496
"ENSG00000287492","ENSG00000287492",NA,0.22534801670242
"ENSG00000249460","ENSG00000249460",NA,0.0577298265035732
"ENSG00000285294","ENSG00000285294",NA,0.295674428793964
